datetime,net_load_before_pv,pv,net_load_after_pv
8/8/21 19:00,134,,
8/8/21 20:00,113,,
8/8/21 21:00,138,,
8/8/21 22:00,132,,
8/8/21 23:00,110,,
8/9/21 0:00,93,,
8/9/21 1:00,84,,
8/9/21 2:00,86,,
8/9/21 3:00,94,,
8/9/21 4:00,89,,
8/9/21 5:00,167,,
8/9/21 6:00,125,,
8/9/21 7:00,81,,
8/9/21 8:00,150,,
8/9/21 9:00,326,,
8/9/21 10:00,198,,
8/9/21 11:00,210,,
8/9/21 12:00,216,,
8/9/21 13:00,198,,
8/9/21 14:00,223,,
8/9/21 15:00,220,,
8/9/21 16:00,272,,
8/9/21 17:00,190,,
8/9/21 18:00,189,,
8/9/21 19:00,189,,
8/9/21 20:00,153,,
8/9/21 21:00,168,,
8/9/21 22:00,146,,
8/9/21 23:00,140,,
