date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
7/17/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2334.505,-659.05,2008,2507.995,-24752.08628,-22811.08339,-20902.0813,1941.002894,58230.08682,1909.002087,57270.06261,-93380.2,-80320,-100319.8,13060.2,-19999.8,0.018570018,0,0,1773.997,1819.997,1932.004,1932.004,1191.998,2813.47,0.954501043,1,1
12/19/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3319.6,-1295.4,2477.1,2498.1,-31126.11597,-25559.16927,-23650.16718,5566.946698,167008.4009,1909.002087,57270.06261,-132784,-99084,-99924,33700,-840,0.085990435,0,0,1701,2060.7,1413.8,1311,1424.2,7062.42,0.954501043,1,0
6/24/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3179.03,-2439.78,2663.1,2474.3,-36222.79998,-22396.35913,-20487.35704,13826.44085,414793.2254,1909.002087,57270.06261,-127161.2,-106524,-98972,20637.2,7552,0.112538527,0,0,1937.4,2663.1,932.8,593.7,1855.4,17731.17,0.954501043,1,1
9/17/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2145.79,-350.49,1979.1,2457.1,-22618.51193,-21317.35532,-19408.35323,1301.156606,39034.69818,1909.002087,57270.06261,-85831.6,-79164,-98284,6667.6,-19120,0.022090772,0,0,1491,1979.1,1461.9,1461.9,813,1581.96,0.954501043,1,1
2/28/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2288,0,2288,2428,-23621.1523,-23621.1523,-21712.15021,0,0,1909.002087,57270.06261,-91520,-91520,-97120,0,-5600,0.070322515,0,0,1548,1928,1364,1364,1363,0,0.954501043,1,0
6/23/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2540.199,-481.4,2267.999,2417.998,-25684.51071,-23642.03669,-21733.0346,2042.474028,61274.22084,1909.002087,57270.06261,-101607.96,-90719.96,-96719.92,10888,-5999.96,0.068982205,0,0,1558,1917.998,1931.997,1429.999,1246,2946,0.954501043,1,1
4/24/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2626,0,2626,2406,-21689.8016,-21689.8016,-19866.64163,0,0,1823.159967,54694.799,-105040,-105040,-96240,0,8800,0.109531358,0,0,2110,2406,840,68,1576,0,0.911579983,0,0
1/15/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2904.39,-1477.39,2052.4,2395.4,-29677.73946,-23398.22882,-21489.22673,6279.510644,188385.3193,1909.002087,57270.06261,-116175.6,-82096,-95816,34079.6,-13720,0.042246676,0,0,1350.6,2052.4,1607,1261.7,1540.3,7849.46,0.954501043,1,1
4/20/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2380,0,2380,2380,-21464.659,-21464.659,-19555.65691,0,0,1909.002087,57270.06261,-95200,-95200,-95200,0,0,0.088705189,0,0,2200,1484,1156,692,1672,0,0.954501043,1,1
6/23/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3501.16,-2499.52,2205.7,2379.613043,-34762.82674,-20366.12977,-18457.12768,14396.69697,431900.9092,1909.002087,57270.06261,-140046.4,-88228,-95184.52174,51818.4,-6956.521739,0.065760431,0,0,1864,2205.7,1149.3,654.3,1623.3,18648.67,0.954501043,1,1
