,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
48,2020-09-18,False,True,0.41,340,500,125,2cd,1,399.4923077,-0.0,399.4923077,499.33076919999996,-3008.376267742303,-3008.376267742303,-2570.1299846311967,0.0,0.0,438.2462831111061,13147.388493333183,-15979.692308000002,-15979.692308000002,-19973.230767999998,0.0,-3993.538459999996,0.06288360368273449,0.0,-0.0,119.1,374.33076919999996,330.7615385,214.1692308,47.66153846,0.0,0.8764925662222122,1
49,2020-09-19,False,True,0.41,340,500,125,2cd,1,325.6307692,-0.0,325.6307692,410.66923080000004,-2473.5202576844795,-2473.5202576844795,-2087.2400765239045,0.0,0.0,386.280181160575,11588.40543481725,-13025.230768,-13025.230768,-16426.769232000002,0.0,-3401.538464000003,0.047764177201210734,0.0,-0.0,121.6,285.66923080000004,241.08461540000002,154.44615380000002,34.78461538,0.0,0.77256036232115,1
50,2020-09-20,False,True,0.41,340,500,125,2cd,1,57.03076923,-0.0,57.03076923,180.83571429,-659.4911373683735,-659.4911373683735,-556.1578057237109,0.0,0.0,103.33333164466262,3099.9999493398786,-2281.2307692,-2281.2307692,-7233.4285715999995,0.0,-4952.1978024,,0.0,-0.0,48.22307692,57.03076923,40.86923077,40.44615385,31.74615385,0.0,0.20666666328932523,0
51,2020-09-21,False,True,0.41,340,500,125,2cd,1,416.1153846,-0.0,416.1153846,483.01538460000006,-2964.9250327868444,-2964.9250327868444,-2514.8059461889356,0.0,0.0,450.1190865979088,13503.572597937264,-16644.615384,-16644.615384,-19320.615384000004,0.0,-2676.0000000000036,0.08888503675938697,0.0,-0.0,122.0357143,358.01538460000006,285.6923077,242.3538462,39.32307692,0.0,0.9002381731958176,1
52,2020-09-22,False,True,0.41,340,500,125,2cd,1,48.46153846,-0.0,48.46153846,173.26428571,-560.0357267813788,-560.0357267813788,-498.57006795003883,0.0,0.0,61.465658831339965,1843.969764940199,-1938.4615383999999,-1938.4615383999999,-6930.5714284,0.0,-4992.10989,,0.0,-0.0,48.26428571,48.46153846,29.93076923,29.93076923,29.97692308,0.0,0.12293131766267994,0
53,2020-09-23,False,True,0.41,340,500,125,2cd,1,367.9,-0.0,367.9,487.9538462,-2952.5935067041673,-2952.5935067041673,-2494.983931178672,0.0,0.0,457.60957552549553,13728.287265764866,-14716.0,-14716.0,-19518.153847999998,0.0,-4802.153847999998,0.058945607438464,0.0,-0.0,117.0230769,362.9538462,257.6571429,192.9,48.4,0.0,0.915219151050991,1
54,2020-09-24,False,True,0.41,340,500,125,2cd,1,359.0,-0.0,359.0,441.98461539999994,-2906.0573191944686,-2906.0573191944686,-2452.026318048018,0.0,0.0,454.03100114645076,13620.930034393523,-14360.0,-14360.0,-17679.384615999996,0.0,-3319.3846159999957,0.08076393575007068,0.0,-0.0,122.1,316.98461539999994,231.36153849999997,200.60769230000002,39.33846154,0.0,0.9080620022929016,1
55,2020-09-25,False,True,0.41,340,500,125,2cd,1,383.1846154,-0.0,383.1846154,470.0923077,-2859.3536904097955,-2859.3536904097955,-2408.3569091114214,0.0,0.0,450.9967812983741,13529.903438951224,-15327.384616,-15327.384616,-18803.692307999998,0.0,-3476.3076919999985,0.0769533638486839,0.0,-0.0,119.7692308,345.0923077,230.4142857,208.15384619999998,41.1,0.0,0.9019935625967482,1
56,2020-09-26,False,True,0.41,340,500,125,2cd,1,181.6230769,-0.0,181.6230769,306.6230769,-1482.512135731764,-1482.512135731764,-1210.8851475563986,0.0,0.0,271.62698817536534,8148.809645260961,-7264.923076,-7264.923076,-12264.923076,0.0,-4999.999999999999,-0.06970811795365461,0.0,-0.0,131.6461538,181.6230769,130.5615385,130.5615385,34.50769231,0.0,0.5432539763507307,1
57,2020-09-27,False,True,0.41,340,500,125,2cd,1,370.7538462,-0.0,370.7538462,440.2,-2925.8567557734414,-2925.8567557734414,-2459.527274420293,0.0,0.0,466.32948135314837,13989.884440594451,-14830.153848,-14830.153848,-17608.0,0.0,-2777.846152,0.09450309926139933,0.0,-0.0,121.92857140000001,315.2,257.6,196.2153846,47.58461538,0.0,0.9326589627062968,1
