date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,energy_saving_per_kWh,storage_params
7/16/20,TRUE,TRUE,0.41,340,600,150,2cd,1,3082.848,-2129,1521.995,1488,-25024.45131,-16458.49788,-15786.14165,8565.95343,256978.6029,672.3562293,20170.68688,-123313.92,-60879.8,-59520,62434.12,1359.8,0.188231619,273.77142,-61.5,33.61781147,600kWh-150kW
7/17/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2334.505,-659,2008.09,2157.505,-24752.08628,-22810.71158,-22227.87535,1941.3747,58241.241,582.8362293,17485.08688,-93380.2,-80323.6,-86300.2,13056.6,-5976.6,0.069219781,0,0,29.14181147,600kWh-150kW
7/18/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1707.089,-1699,1430.132,1450,-19224.76606,-13646.74236,-13094.82705,5578.0237,167340.711,551.9153071,16557.45921,-68283.56,-57205.28,-58000,11078.28,-794.72,0.122882364,0,0,27.59576535,600kWh-150kW
7/19/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1607.73,-1142,1254.026,1404.026,-16250.65446,-11564.85306,-10982.01683,4685.8014,140574.042,582.8362293,17485.08688,-64309.2,-50161.04,-56161.04,14148.16,-6000,0.068910658,0,0,29.14181147,600kWh-150kW
3/16/20,TRUE,TRUE,0.41,340,800,200,2cd,1,2881,-2977,1654,1654.000114,-23047.9378,-10890.5644,-9938.902192,12157.3734,364721.202,951.6622082,28549.86625,-115240,-66160,-66160.00456,49080,-0.004559054,0.186527176,691.6364192,-193.7550465,35.68733281,800kWh-200kW
3/17/20,TRUE,TRUE,0.41,340,800,200,2cd,1,3564,-2809,1660,1660.032768,-24679.7444,-12274.1086,-11119.00361,12405.6358,372169.074,1155.104991,34653.14972,-142560,-66400,-66401.31072,76160,-1.31072,0.235386603,961.8553397,-290.1587455,43.31643715,800kWh-200kW
3/18/20,TRUE,TRUE,0.41,340,800,200,2cd,1,2061,-2783,1658,1458,-21180.242,-9607.8144,-8731.674427,11572.4276,347172.828,876.1399728,26284.19918,-82440,-66320,-58320,16120,8000,0.234289985,1498.70752,-157.9156842,32.85524898,800kWh-200kW
3/19/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1653,-2746,1012,990,-15497.4996,-6300.274,-5640.520436,9197.2256,275916.768,659.7535639,19792.60692,-66120,-40480,-39600,25640,880,0.12035038,2728.170533,-55.22328536,24.74075865,800kWh-200kW
3/20/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1427,-2804,972,940,-15235.1386,-5851.1872,-5199.599238,9383.9514,281518.542,651.5879624,19547.63887,-57080,-38880,-37600,18200,1280,0.121810101,2957.276735,-51.34804808,24.43454859,800kWh-200kW
3/21/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1534,-2599,1222,1120.000004,-16343.2508,-8004.2636,-7381.255272,8338.9872,250169.616,623.0083284,18690.24985,-61360,-48880,-44800.00018,12480,4079.999825,0.139315462,1988.158458,-37.78469773,23.36281232,800kWh-200kW
