,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
85,2020-12-12,False,False,0.35,340,500,125,2cd,1,384.0923077,-0.0,384.0923077,509.0923077,-3398.464036399788,-3398.464036399788,-2917.029166834571,0.0,0.0,481.434869565217,14443.04608695651,-15363.692308,-15363.692308,-20363.692307999998,0.0,-4999.999999999998,0.03311811780048224,0.0,-0.0,136.6538462,384.0923077,257.4,255.8692308,56.90769231,0.0,0.962869739130434,1,0
86,2020-12-13,False,False,0.35,340,500,125,2cd,1,166.9384615,-0.0,166.9384615,284.7,-1543.7650513135384,-1543.7650513135384,-1201.6085240860511,0.0,0.0,342.15652722748723,10264.695816824616,-6677.53846,-6677.53846,-11388.0,0.0,-4710.46154,-0.03702942945304932,0.0,-0.0,108.1384615,159.7,125.0153846,112.0230769,39.57692308,0.0,0.6843130544549745,0,0
87,2020-12-14,False,False,0.35,340,500,125,2cd,1,445.1153846,-0.0,445.1153846,495.9153846,-3600.899091624467,-3600.899091624467,-3119.4642220592496,0.0,0.0,481.43486956521747,14443.046086956525,-17804.615384,-17804.615384,-19836.615384,0.0,-2032.0,0.07880802498274497,0.0,-0.0,132.5384615,370.9153846,374.8307692,220.6846154,57.56923077,0.0,0.9628697391304349,1,1
88,2020-12-15,False,False,0.35,340,500,125,2cd,1,477.1285714,-0.0,477.1285714,557.4615385,-3501.356422623917,-3501.356422623917,-3030.2581776363522,0.0,0.0,471.0982449875646,14132.947349626938,-19085.142856,-19085.142856,-22298.461539999997,0.0,-3213.318683999998,0.057151650985785674,0.0,-0.0,74.49230769,432.4615385,350.3307692,269.5923077,49.98461538,0.0,0.9421964899751292,0,1
89,2020-12-16,False,False,0.35,340,500,125,2cd,1,487.2692308,-0.0,487.2692308,590.0,-3599.0923739625814,-3599.0923739625814,-3126.9711309362233,0.0,0.0,472.1212430263581,14163.637290790743,-19490.769232,-19490.769232,-23600.0,0.0,-4109.230768000001,0.043596691792386455,0.0,-0.0,196.0615385,487.2692308,354.0615385,277.7307692,59.51538462,0.0,0.9442424860527162,0,1
90,2020-12-17,False,False,0.35,340,500,125,2cd,1,472.6076923,-0.0,472.6076923,585.4153845999999,-3699.1035284611035,-3699.1035284611035,-3226.754405076125,0.0,0.0,472.3491233849786,14170.47370154936,-18904.307692,-18904.307692,-23416.615383999997,0.0,-4512.3076919999985,0.03724033137791949,0.0,-0.0,156.9461538,459.4153846,369.0615385,273.2142857,62.64615385,0.0,0.9446982467699572,0,1
91,2020-12-18,False,False,0.35,340,500,125,2cd,1,457.2615385,-0.0,457.2615385,504.0,-3420.4320665822866,-3420.4320665822866,-2955.2554419204544,0.0,0.0,465.1766246618322,13955.298739854967,-18290.46154,-18290.46154,-20160.0,0.0,-1869.5384599999998,0.07503117452791441,0.0,-0.0,142.1769231,379.0,320.8,262.4846154,47.93076923,0.0,0.9303532493236644,0,1
92,2020-12-19,False,False,0.35,340,500,125,2cd,1,334.7076923,-0.0,334.7076923,442.4076923,-2859.2380749835875,-2859.2380749835875,-2424.3262358009297,0.0,0.0,434.9118391826578,13047.355175479734,-13388.307692,-13388.307692,-17696.307692000002,0.0,-4308.000000000002,0.024518887235760234,0.0,-0.0,119.6923077,317.4076923,259.9461538,249.8153846,47.96153846,0.0,0.8698236783653156,0,0
93,2020-12-20,False,False,0.35,340,500,125,2cd,1,89.83076923,-0.0,89.83076923,202.97692308,-948.1343281289185,-948.1343281289185,-731.8149655690802,0.0,0.0,216.31936255983828,6489.5808767951485,-3593.2307692,-3593.2307692,-8119.0769232,0.0,-4525.846154000001,-0.16750945107150872,0.0,-0.0,60.52307692,82.1,52.07857143,52.07857143,47.96923077,0.0,0.43263872511967655,0,0
94,2020-12-21,False,False,0.35,340,500,125,2cd,1,474.7230769,-0.0,474.7230769,566.9384615,-3741.5097230415545,-3741.5097230415545,-3260.0748534763366,0.0,0.0,481.4348695652179,14443.046086956538,-18988.923076,-18988.923076,-22677.53846,0.0,-3688.6153840000006,0.05394673530148664,0.0,-0.0,144.7384615,441.9384615,377.8230769,264.9615385,59.76923077,0.0,0.9628697391304358,1,1
